,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,European Nationality,Height (cm),Weight(lbs),League
0,Taylor Rochestie,NIZ,21.0,30.0,18.9,6.4,12.6,0.511,2.5,5.0,0.5,3.5,3.8,0.925,0.5,1.1,1.6,5.7,0.6,0.0,2.2,1.9,2015.0,True,185.0,88.0,Euroleague
1,Andrew Goudelock,FEN,29.0,29.9,17.0,6.7,13.0,0.511,2.4,5.3,0.461,1.2,1.7,0.75,0.3,1.9,2.2,2.1,0.7,0.1,1.4,1.8,2015.0,False,191.0,91.0,Euroleague
2,Keith Langford,UNI,10.0,29.2,16.7,6.2,12.6,0.492,1.2,3.8,0.316,3.1,4.2,0.738,0.8,2.7,3.5,2.3,1.1,0.2,2.2,1.9,2015.0,False,193.0,92.0,Euroleague
3,Boban Marjanovic,ZVE,24.0,27.3,16.6,6.2,10.0,0.623,0.0,0.0,0.0,4.2,5.3,0.781,3.5,7.2,10.7,1.0,0.4,0.8,1.4,1.5,2015.0,True,224.0,132.0,Euroleague
4,Bojan Dubljevic,VAL,8.0,22.9,15.5,5.6,11.0,0.511,1.5,3.5,0.429,2.8,3.0,0.917,1.3,2.9,4.1,0.9,0.9,0.3,1.0,2.3,2015.0,True,206.0,110.0,Euroleague
5,Damian Kulig,TUR,10.0,25.2,15.2,5.8,10.3,0.563,1.7,3.6,0.472,1.9,3.0,0.633,1.2,4.3,5.5,1.5,0.6,1.1,2.0,3.8,2015.0,True,206.0,109.0,Euroleague
6,Devin Smith,MAC,25.0,31.8,15.0,5.2,11.4,0.458,2.2,6.0,0.376,2.4,2.9,0.833,1.0,5.1,6.1,2.5,1.0,0.6,1.8,3.1,2015.0,False,196.0,110.0,Euroleague
7,Zoran Erceg,GAL,22.0,30.7,15.0,4.5,11.1,0.408,2.3,5.9,0.388,3.6,4.0,0.899,0.9,3.4,4.3,0.9,1.2,0.1,1.2,1.7,2015.0,True,206.0,112.0,Euroleague
8,Milos Teodosic,CSKA,24.0,28.2,14.8,4.7,10.9,0.431,2.9,7.2,0.405,2.4,2.8,0.866,0.3,2.6,2.8,7.0,0.8,0.0,3.7,2.8,2015.0,True,196.0,89.0,Euroleague
9,Deividad Gailius,NEP,10.0,26.9,14.7,5.4,11.5,0.47,2.4,5.9,0.407,1.5,2.5,0.6,0.9,3.9,4.8,2.5,1.3,0.0,2.1,2.5,2015.0,True,198.0,94.0,Euroleague
10,James Anderson,ZAL,24.0,28.4,14.5,5.3,13.3,0.396,1.9,5.8,0.329,2.1,2.7,0.785,0.8,4.4,5.1,2.5,0.9,0.5,2.1,2.4,2015.0,False,198.0,95.0,Euroleague
11,Trey Thompkins,NIZ,23.0,27.5,14.5,5.6,11.6,0.483,1.5,4.0,0.374,1.8,2.1,0.837,1.5,6.6,8.1,1.6,0.8,0.4,1.7,3.0,2015.0,False,208.0,111.0,Euroleague
12,Nando De Colo,CSKA,28.0,24.4,14.4,4.8,9.7,0.493,1.1,2.4,0.471,3.7,4.0,0.92,0.5,2.7,3.2,3.1,1.3,0.0,1.8,2.2,2015.0,True,196.0,88.0,Euroleague
13,Vassilis Spanoulis,OLY,26.0,28.1,14.4,4.2,10.7,0.396,1.9,5.8,0.333,4.0,5.3,0.759,0.2,1.6,1.8,5.5,0.8,0.1,3.1,2.2,2015.0,True,193.0,95.0,Euroleague
14,Alessandro Gentile,MIL,20.0,27.6,14.3,4.9,11.3,0.429,1.0,3.1,0.306,3.7,4.7,0.777,0.9,2.2,3.1,2.5,0.7,0.0,1.9,2.7,2015.0,True,198.0,103.0,Euroleague
15,Jamar Smith,CSP,10.0,26.1,14.0,5.2,10.1,0.515,2.7,5.9,0.458,0.9,1.1,0.818,0.4,2.2,2.6,3.1,1.2,0.1,1.7,1.0,2015.0,False,191.0,84.0,Euroleague
16,Tarence Kinsey,NIZ,17.0,30.9,13.8,4.7,11.4,0.415,1.2,3.2,0.37,3.2,4.1,0.786,1.1,4.1,5.1,1.8,1.6,0.2,2.1,2.8,2015.0,False,198.0,84.0,Euroleague
17,Jeremy Pargo,MAC,27.0,31.9,13.7,5.0,12.3,0.402,1.3,4.6,0.282,2.4,3.2,0.759,0.3,2.9,3.2,5.4,0.2,0.1,2.9,2.2,2015.0,False,188.0,99.0,Euroleague
18,Rakim Sanders,SAS,8.0,27.6,13.4,4.9,12.0,0.406,1.8,5.4,0.326,1.9,3.0,0.625,0.6,2.4,3.0,0.5,0.9,0.0,1.4,4.0,2015.0,False,196.0,103.0,Euroleague
